-4.18150,3.99258
-3.88876,3.85911
-3.66042,3.70339
-3.45550,3.45869
-3.34426,3.15466
-3.17447,2.98411
-2.99297,2.70233
-2.83489,2.44280
-2.65925,2.23517
-2.54215,1.97564
-2.46604,1.90890
-2.52459,1.82733
-2.40749,1.87182
-2.50703,1.76801
-2.37822,1.80508
-2.50703,1.67161
-2.29625,1.75318
-2.57728,1.56780
-2.26698,1.67903
-2.44848,1.56038
-2.19672,1.64195
-2.57728,1.42691
-2.02693,1.64195
-2.60656,1.29343
-2.01522,1.50106
-2.67682,1.12288
-1.71077,1.47881
-2.85246,0.81144
-1.22482,1.42691
-2.06792,0.870763
-2.31967,0.640890
-2.62412,0.270127
-2.95199,-0.137712
-3.26815,-0.552966
-3.60187,-0.968220
-3.91218,-1.39089
-4.18735,-1.75424
-4.52693,-2.20657